strain	clade
a/duck/sleman/bbvw_1003_34368/2007	2.1.1
a/chicken/indonesia/7/2003	2.1.1
a/chicken/denpasar/bbvd_182/2007	2.1.1
a/chicken/eastjava/ut1006/2003	2.1.1
a/swine/banten/ut3062/2005	2.1.1
a/chicken/badung/bbvd_302/2007	2.1.1
a/chicken/indonesia/9/2003	2.1.1
a/chicken/ampenan/bbvd_282/2007	2.1.1
a/chicken/taput/bbpv1_576/2005	2.1.2
a/chicken/indonesia/wates77/2005	2.1.2
a/indonesia/cdc595/2006	2.1.2
a/chicken/indonesia/wates83/2005	2.1.2
a/chicken/medan/bppv1_498/2005	2.1.2
a/indonesia/cdc594/2006	2.1.2
a/indonesia/cdc597/2006	2.1.2
a/chicken/langkat/bbpv1_576/2005	2.1.2
a/chicken/duma/bbpv_ii/2005	2.1.2
a/chicken/pidie/bppv1/2005	2.1.2
a/indonesia/cdc625l/2006	2.1.2
a/indonesia/cdc596/2006	2.1.2
a/indonesia/546h/2006	2.1.2
a/chicken/salam/bbpv_ii/2005	2.1.2
a/chicken/deliderdang/bbpvi/2005	2.1.2
a/chicken/eastjava/ut6031/2007	2.1.3
a/chicken/denpasar/bbvd_331/2007	2.1.3
a/chicken/pekalongan/bbvw/2007	2.1.3
a/chicken/klungkung/bbvd_279/2007	2.1.3
a/chicken/bangli/bbvd_245/2007	2.1.3
a/duck/bantul/bbvw_387_23310/2007	2.1.3
a/chicken/denpasar/bbvd_560/2007	2.1.3
a/chicken/madiun/bbvw1420/2005	2.1.3
a/swine/eastjava/ut6003/2006	2.1.3
a/chicken/jembrana/bbvd_300/2006	2.1.3
a/swine/banten/ut6008/2007	2.1.3
a/duck/bantul/bbvw_387_23310x_2/2007	2.1.3
a/chicken/denpasar/bbvd_509/2007	2.1.3
a/chicken/badung/bbvd_328/2007	2.1.3
a/chicken/denpasar/bbvd_435/2007	2.1.3
a/chicken/buleleng/bbvd_545b/2007	2.1.3
a/chicken/badung/bbvd_342/2007	2.1.3
a/swine/northsumatra/ut6034/2007	2.1.3
a/chicken/bangli/bbvd_562/2007	2.1.3
a/chicken/gianyar/bbvd_687/2007	2.1.3
a/chicken/eastjava/ut6019/2006	2.1.3
a/quail/centraljava/smrg/2006	2.1.3
a/duck/bantul/bbvw_387_23310x_1/2007	2.1.3
a/chicken/centraljava/ut3091/2005	2.1.3
a/chicken/eastjava/ut6016/2006	2.1.3
a/duck/bangli/bbvd_246/2007	2.1.3
a/swine/southkalimantan/ut6015/2006	2.1.3
a/chicken/badung/bbvd_277/2007	2.1.3
a/swine/eastjava/ut6012/2007	2.1.3
a/chicken/bangli/bbvd_575/2007	2.1.3
a/chicken/westjava/garut_may/2006	2.1.3
a/chicken/tabanan/bbvd_307/2007	2.1.3
a/chicken/badung/bbvd_288/2007	2.1.3
a/chicken/eastjava/ut6020/2006	2.1.3.1
a/chicken/sulawesiselatan/ut2094/2005	2.1.3.1
a/chicken/bali/ut2091/2005	2.1.3.1
a/chicken/papua/tb15/2006	2.1.3.1
a/chicken/eastkalimantan/ut582/2010	2.1.3.1
a/chicken/indonesia/wates126/2005	2.1.3.1
a/chicken/bali/ut2092/2005	2.1.3.1
a/chicken/indonesia/wates1/2005	2.1.3.1
a/chicken/papua/tb1/2006	2.1.3.1
a/chicken/eastkalimantan/ut581/2010	2.1.3.1
a/chicken/eastjava/ut6021/2006	2.1.3.1
a/chicken/sulawesiselatan/ut2093/2005	2.1.3.1
a/chicken/papua/ta5/2006	2.1.3.1
a/chicken/westjava/tasik1/2006	2.1.3.2
